meta_system_id,meta_station_id,name,short_name,external_id,address,latitude,longitude,is_charging_station,state,station_type
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1vYvzhLwdjwlrld6xLDgXtn7,96 - Alcalá - Castelló,96,1499,Calle Alcalá nº 111,40.42201515498424,-3.682204798770403,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1JqjLemaWTWyfEdqM7Ikgcm4,109 - Marqués de Salamanca,109,1513,Calle José Ortega y Gasset nº 30,40.4301245,-3.6814521000000004,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1b9QyD62QlETP7arfClG8VGP,123 - Metro Argüelles,123,1529,Calle Guzmán el Bueno nº 2,40.4306458,-3.7133412,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1MQ6RURbIeSUAofM7G1PAPXV,142 - Bajo elevado de Eduardo Dato,142,1548,Paseo de la Castellana nº 42,40.4334087,-3.6879154,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1gzWn3Fhn3RuB8GZ0BZ3p94I,175 - Jaime el Conquistador - Divino Vallés,175,1581,Calle Jaime el Conquistador nº 30,40.3962264,-3.6983445200000005,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1KJnwSrprpq7JZOvQ5AXbr6R,189 - Virgen de la Alegría,189,1595,"Calle Virgen de la Alegría, 18",40.4351256,-3.6554918000000005,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_11Lxg1XTrxZwu44vhBmFNckl,191 - Metro Diego de León,191,1597,"Calle de Alfonso Heredia, 2",40.434569387142616,-3.6740777840614403,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1J2m09dnlR6UmdZ1CKXaptGb,230 - Carlota O´Neill - Agastia,230,1636,"Calle Carlota O'Neill, 30-32",40.4436792,-3.6488254,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_14f024qDKQqI9yDI3WGeI7zW,"238 - San Germán, 5",238,1644,"CalleSan Germán, 5",40.4561825,-3.6932611,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1PKbQBjiziEJCHkVIHeLPPFG,206 - Metro Tetuán,206,1612,"Calle Marqués de Viana, 3",40.46088,-3.69895,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_12yEowSbNk24VVGwz0B67d2n,240 - Brasilia - Parque Breogán,240,1646,"Avenida De Brasilia, 9",40.43666,-3.66096,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1wFOcTb3qKxZ2MMAFOqRe4xl,247 - Zurbano - José Abascal,247,1653,"Calle de Zurbano, 90",40.43837,-3.69281,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1O1ovoAUvvKEcL0XfQaOyvY2,260 - Ciudad Universitaria - Fac. de Biología,260,1666,Facultad de Biología,40.4483322,-3.7272945,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1MUfCaRNzCVAZbkYBImEecih,554 - Metro El Capricho,554,1963,"Calle de Velero, 16",40.453,-3.5940999999999996,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1uACQHLZVESuhqFXGULA4EYn,"529 - Lopez de Hoyos , 478",529,2105,"Calle López de Hoyos, 478",40.47175,-3.649843,false,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1Ep0e5ZPGmGg1AjIgNaSbpJz,369 - Junta Municipal Distrito de Carabanchel,369,2140,"Plaza De la Parroquia, 19",40.3802446,-3.7415832000000004,false,inactive,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1QuG0IHciB5SE3K1uBo2xLNE,"395 - Guetaria, 84B",395,2226,"Calle Guetaria, 84B",40.36916772,-3.71569102,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1EG1u2knkO298OCJhk1zwUxz,289 - Luis de Salazar - Padre Claret,289,2300,"Calle luis de Salazar, 16",40.4474166,-3.6649258000000002,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_198sUAPDSoTpmiaWjA4gEx5s,312 - Metro Batán,312,2317,"Paseo de la Venta, 1",40.4077495,-3.7528559,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1bR0UuB8HBkjUaE5KPWiJ0aD,342 - Osa de la Vega - Rafael Finat,342,2335,"Calle Osa de la Vega, 1",40.374979,-3.7733810000000005,false,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_12EoGWqnZmVOlVSdPhlFqGMH,"444 - Valderrebollo, 18",444,2339,"Calle Valderrebollo, 18",40.3743481,-3.6276352,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_173bm3OUb9e6ThTUUxA7UUSc,127 - Mercado Municipal de Vallehermoso,127,1533,Calle Fernando el Católico nº 19,40.4338516,-3.708439,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1vzn9jGD6Vg3xoIPWox0e7NE,129 - Metro Alonso Cano,129,1535,"Calle de José Abascal, 33-35",40.4383865,-3.6982353,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1CzWh4lmndf6x94NMuc5trnI,3 - Plaza Conde Suchil,3,1407,"Plaza Conde Surchill, 4",40.4303223,-3.7072537000000003,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1lPYOJhIBnHuLAthEzx86Oqt,29 - Marqués de Cubas,29,1433,Calle del Marqués de Cubas nº 25,40.4163838,-3.6957434000000005,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1qPSMrmiecsiXC8ZUgBXyrUm,153 - General Perón - Poeta Joan Maragall,153,1559,"Avenida del General Perón, 36",40.4523,-3.6935999999999996,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1xTEfDeg2cJz07I3SJMJ3hvj,156 - Sor Ángela de la Cruz-Paseo Castellana,156,1562,Calle Sor Ángela de la Cruz nº 2,40.4592351,-3.691533,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1859JiamPnJQskhtcYFoQFyx,169 - Glorieta de Pirámides,169,1575,Calle Toledo nº 181,40.401589,-3.713823,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1rjfOYQFlZmQqmgYdq5ZuxEj,196 - Metro Prosperidad,196,1602,"Calle Suero de Quiñones, 4",40.4442237,-3.6752218,true,active,physical
ms_1o0lur0wcE4yDq8EcZTQdJhU,mss_1sngCCO7ZMxUVT9uz8Ryi96B,208 - Intercambiador de Plaza de Castilla,208,1614,"Paseo de la Castellana, 216",40.4662811,-3.6890611,true,active,physical
